Категория,Вуз,Адрес,e-mail,Телефон,Сайт
Гуманитарные,Вологодский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Вологда (Вологодская обл.), ул. Ленинградская, д. 71",pk@volog.ranepa.ru,"(817) 252-91-46, 252-91-49",http://volog.ranepa.ru/
Гуманитарные,Воронежский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Воронеж (Воронежская обл.), Московский пр-т, д. 143",pk@vrn.ranepa.ru,"(473) 247–72-95, 242–77-59, 247–73–75, 253-88-07, 242-77-59",http://www.vrn.ranepa.ru/
Гуманитарные,Выборгский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Выборг (Ленинградская обл., Выборгский р-н), Ленинградский пр-т., д. 11",vfszags.ru@mail.ru,"(81378) 2-18-04, (81378) 2-50-84 (приемная комиссия)",http://www.vbr.ranepa.ru/
Гуманитарные,Дальневосточный институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Хабаровск (Хабаровский край), ул. Муравьева-Амурского, д. 33",info@dviu.ranepa.ru,"(421) 230-54-69, 230-45-69, 230-65-49",http://dviu.ranepa.ru/
Гуманитарные,Дзержинский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Дзержинск (Нижегородская обл.), Студенческая ул., д. 61А",priem@dzr.ranepa.ru,"(831) 325-99-33, 326-42-60, 321-08-43",http://dzr.ranepa.ru/
Гуманитарные,Западный филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Калининград (Калининградская обл.), ул. Артиллерийская, д. 18",priem-vpo@zf.ranepa.ru,"(401) 297-23-63, 297-23-64",http://zf.ranepa.ru/
Гуманитарные,Ивановский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Иваново (Ивановская обл.), Посадский пер., д. 8 литер А1",ivanovo_dekanat@list.ru,(4932) 30-07-65,http://iv.ranepa.ru/
Гуманитарные,Калужский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Калуга (Калужская обл.), Окружная ул., д. 4, корп. 3",mail@klg.ranepa.ru,"(4842) 57-74-70, 55-13-08, 55-13-08",http://klg.ranepa.ru/
Гуманитарные,Карельский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Петрозаводск (Карелия респ.), ул. Чапаева, д. 6А",okpk@krl.ranepa.ru,(8142) 72-21-01,http://www.krl.ranepa.ru/
Гуманитарные,Кировский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Киров (Кировская обл.), ул. Ленина, д. 25",pk@krv.ranepa.ru,"(8332) 64-10-56, 38-50-44",http://www.krv.ranepa.ru/
Гуманитарные,Курганский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Курган (Курганская обл.), ул. Карла Маркса, д. 147А",pk@kurg.ranepa.ru,"(3522) 41-42-70, 42-27-45",http://kurg.ranepa.ru/
Гуманитарные,Липецкий филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Липецк (Липецкая обл.), Интернациональная ул., д. 3",lfags_priem_2015@mail.ru,"(474) 227-99-06, 227-99-10, 227-99-12",http://lip.ranepa.ru/
Гуманитарные,Мурманский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Мурманск (Мурманская обл.), ул. Володарского, д. 3",sergeeva-ea@mrm.ranepa.ru,(815) 242-35-75,http://mrm.ranepa.ru/
Гуманитарные,Нижегородский институт управления Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Нижний Новгород (Нижегородская обл.), пр-т Гагарина, д. 46",niu@niu.ranepa.ru,(831) 412-15-58,http://niu.ranepa.ru/
Гуманитарные,Новгородский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Великий Новгород (Новгородская обл.), ул. Германа, д. 31",nfranhigs@novgor.ranepa.ru,"(8162) 77-61-51, 77-86-00",http://www.novgor.ranepa.ru/
Гуманитарные,Оренбургский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Оренбург (Оренбургская обл.), пр-д Братьев Коростелевых, д. 141",uralacad@esoo.ru,"(353) 277-04-03, 277-18-49, 277-18-50",http://orn.ranepa.ru/
Гуманитарные,Среднерусский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,"г. Орел (Орловская обл.), Бульвар Победы, д. 5А",pk-ofranxigs@yandex.ru,"(4862) 71-49-10, 8(903) 881-51-11",http://orel.ranepa.ru/
Гуманитарные,Пермский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Пермь (Пермский край), Бульвар Гагарина, д. 10",yudin-vs@rane.ru,"(342) 212-72-96, 212-49-24, 212-08-53",http://perm.ranepa.ru/
Гуманитарные,Петропавловск-Камчатский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Петропавловск-Камчатский (Камчатский край), ул. Бохняка, д. 13",priemnaya@pk.ranepa.ru,(415) 230-76-24,http://pk.ranepa.ru/
Гуманитарные,Поволжский институт управления имени П.А. Столыпина Российской академии народного хозяйства и государственной службы при Президенте РФ,"410012,  Приволжский федеральный округ, Саратовская область  г. Саратов, ул. Московская, д. 164, в/г № 2",pricom@piuis.ru,"(8452) 27-40-05, (800) 234-84-64",https://piu.ranepa.ru/
Гуманитарные,Волжский филиал Московского автомобильно-дорожного государственного технического университета,"г. Чебоксары (Чувашская респ.), пр-т Тракторостроителей, д. 101, корп. 30",priemvfmadi@mail.ru,8-987-661-96-97,http://www.vf.madi.ru/
Гуманитарные,Северо-Западный институт управления РАНХиГС,"г. Санкт-Петербург, Средний пр. В.О., д. 57/43",priem@ranepa.ru,(812) 335-94-94,"
Сайт
sziu.ranepa.ru"
Гуманитарные,Северо-Кавказский институт Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Пятигорск (Ставропольский край), ул. Дунаевского, д. 5",priem@ski.ranepa.ru,"(8793) 33-07-29, 33-81-87",http://www.ski.ranepa.ru/
Гуманитарные,Сибирский институт управления Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Новосибирск (Новосибирская обл.), ул. Нижегородская, д. 6",pr-com@siu.ranepa.ru,+7 (383) 218-09-09,https://siu.ranepa.ru/
Гуманитарные,Волгоградский филиал Московского финансово-юридического университета МФЮА,"г. Волгоград (Волгоградская обл.), ул. Бахтурова, д. 25г",Volgograd@mfua.ru,"(8442) 624-111, 989-611",http://vg.mfua.ru
Гуманитарные,Смоленский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Смоленск (Смоленская обл.), Кловская ул., д. 13",pk@smol.ranepa.ru,"(4812) 24-01-60, 24-01-61",http://smol.ranepa.ru/
Гуманитарные,Ставропольский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Ставрополь (Ставропольский край), ул. Лермонтова, д. 189",sfranhgs@mail.ru,"(8652) 37-13-07, 23-36-00",http://www.stav.ranepa.ru/
Гуманитарные,Тамбовский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Тамбов (Тамбовская обл.), ул. Бастионная, д. 16",tambovranhgs_pk@mail.ru,"(4752) 47-59-61, 56-06-17",http://www.tmb.ranepa.ru/
Гуманитарные,Тверской филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Тверь (Тверская обл.), ул. Вагжанова, д. 7",academy@tver.ranepa.ru,"(4822) 41-50-18, 41-50-17, 41-50-28, (961) 016-53-22",http://www.tver.ranepa.ru/
Гуманитарные,Тульский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Тула (Тульская обл.), пр-т Ленина, д. 28",pk_tfranhgs@mail.ru,"(4872) 55-01-98, (920) 275-78-22",http://tfranhgs.ru/
Гуманитарные,Ульяновский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Ульяновск (Ульяновская обл.), ул. Корюкина, д. 20",pk@ul.ranepa.ru,"(842) 243-30-65, 244-15-68, 244-01-09",http://ul.ranepa.ru/
Гуманитарные,Уральский институт управления Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Екатеринбург (Свердловская обл.), ул. 8 Марта, д. 66",director@ui.ranepa.ru,"(343) 251-77-44, 251-70-85, 251-70-16, 251-70-17",http://ui.ranepa.ru/
Гуманитарные,Чебоксарский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Чебоксары (Чувашская респ.), ул. Урукова, д. 8",priemnaya@cheb.ranepa.ru,"(835) 244-83-52, 245-17-59, 245-68-44",http://cheb.ranepa.ru/
Гуманитарные,Челябинский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Челябинск (Челябинская обл.), ул. Комарова, д. 26",in@chel.ranepa.ru,"(351) 771-35-00, 771-21-10",http://chel.ranepa.ru
Гуманитарные,Южно-Российский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте РФ,"г. Ростов-на-Дону (Ростовская обл.), Пушкинская ул., д. 70",director@uriu.ranepa.ru,"(863) 240-22-02, 203-63-81, 269-62-91",http://uriu.ranepa.ru/
Гуманитарные,Кировский филиал Московского финансово-юридического университета МФЮА,"г. Киров (Кировская обл.), ул. Ленина, д. 104",Kirov@mfua.ru,"(8332) 37-18-78, 37-47-04, 37-47-07",http://kr.mfua.ru/
Гуманитарные,Орский филиал Московского финансово-юридического университета МФЮА,"г. Орск (Оренбургская обл.), ул. Строителей, д. 25",mfa-orsk@mail.ru,"(3537) 22-15-47, 22-15-48",http://orsk.mfua.ru/
Гуманитарные,Институт экономики и права (филиал) Академии труда и социальных отношений,"Севастополь, ул. Героев Севастополя, д. 13",priem@sevatiso.ru,+7 (8692) 54-55-84,http://sevatiso.ru/
Гуманитарные,Владимирский филиал Российского университета кооперации,"г. Владимир (Владимирская обл.), ул. Воровского, д. 16",vladimir@rucoop.ru,"(960) 727-49-27, (4922) 32-62-18, 32-22-49",http://vladimir.ruc.su/
Гуманитарные,Волгоградский кооперативный институт (филиал) Российского университета кооперации,"г. Волгоград (Волгоградская обл.), ул. Новосибирская, д. 76",volgograd@rucoop.ru,"(8442) 41-76-97 (приемная комиссия), (961) 090-52-25, (8442) 41-76-93 (ректор)",http://www.volgograd.ruc.su/
Гуманитарные,Ижевский филиал Российского университета кооперации,"г. Ижевск (Удмуртская респ.), ул. Молодежная, д. 109",izhevsk@rucoop.ru,"(3412) 37-19-11, 37-08-11, (912) 856-97-37",http://izhevsk.ruc.su/
Гуманитарные,Казанский кооперативный институт Российского университета кооперации,"г. Казань (Татарстан респ.), ул. Н. Ершова, д. 58",,"(843) 272-39-31, 210-30-25, (987) 297-92-97","
Сайт
kazan.ruc.su"
Гуманитарные,Калининградский филиал Российского университета кооперации,"г. Калининград (Калининградская обл.), ул. Карла Маркса, д. 15-17",kaliningrad@ruc.su,"(4012) 21-78-87, +7(981) 464-47-31",http://kaliningrad.ruc.su/
Гуманитарные,Камчатский филиал Российского университета кооперации,"г. Петропавловск-Камчатский (Камчатский край), ул. Ключевская, д. 11",pk@rucoop.ru,"(4152) 42-80-01, (914) 780-13-86, (4152) 41-09-78",http://pk.ruc.su/
Гуманитарные,Краснодарский кооперативный институт (филиал) Российского университета кооперации,"г. Краснодар (Краснодарский край), ул. Митрофана Седина, д. 168/1",krasnodar@rucoop.ru,"(900) 231-00-50, (861) 255-15-72 (доб.126)","
Сайт
www.krasnodar.ruc.su"
Гуманитарные,Поволжский кооперативный институт Российского университета кооперации,"г. Энгельс (Саратовская обл.), ул. Красноармейская, д. 24",engels@rucoop.ru,"(8453) 56-85-44, 56-85-66",http://engels.ruc.su/
Гуманитарные,Чебоксарский кооперативный институт (филиал) Российского университета кооперации,"г. Чебоксары (Чувашская респ.), пр-т. М.Горького, д. 24",cheb@rucoop.ru,"(8352) 41-98-35, 48-57-31 (903) 345-57-31","
Сайт
cheb.ruc.su"
Гуманитарные,Ярославский филиал Московского финансово-юридического университета МФЮА,"г. Ярославль (Ярославская обл.), ул. Кузнецова, д. 1",Jaroslavl@mfua.ru,"(4852) 25-25-51, 74-48-91",http://yr.mfua.ru/
Гуманитарные,Нижневартовский филиал Южно-Уральского государственного университета (национальный исследовательский университет),"г. Нижневартовск (Ханты-Мансийский АО), ул. Мира, д. 9",comm@susu-nv.ru,(3466) 27-25-30,http://www.susu-nv.ru/
Гуманитарные,Филиал в г. Миассе Южно-Уральского государственного университета (национальный исследовательский университет),"г. Миасс (Челябинская обл.), пр. Октября, д. 16",abit_miass@susu.ru,+7 (3513) 53-11-73,https://www.miass.susu.ru/
Гуманитарные,Набережночелнинский филиал Казанского инновационного университета имени В.Г. Тимирясова (ИЭУП),"г. Набережные Челны (Татарстан респ.), Московский пр-т, д. 67",,"(8552) 32-18-43, 32-18-59",http://chl.ieml.ru
Гуманитарные,Калужский филиал Московского гуманитарно-экономического института,"г. Калуга (Калужская обл.), ул. Кирова, д. 29",kfmgei@mail.ru,"(4842) 57-74-72, 56-51-95",http://mgei.kaluga.ru
Гуманитарные,Пензенский филиал Московского университета имени С.Ю. Витте,"г. Пенза (Пензенская обл.), ул. Вяземского, д. 25«Б»",,(412) 42-92-46,http://www.muiv.ru/penza/?utm_source=uchebaru&utm_medium=cpc
Гуманитарные,Рязанский филиал Московского университета имени С.Ю. Витте,"г. Рязань (Рязанская обл.), Первомайский пр-т, д. 62",PriemCom@ryazan.miemp.ru,(4912) 76-56-62,https://www.muiv.ru/ryazan/
Гуманитарные,Филиал в г. Нижний Новгород Московского университета имени С.Ю. Витте,"г. Нижний Новгород (Нижегородская обл.), ул. Усилова, д. 3/3",nnovgorod@muiv.ru,(831) 432-73-58,https://www.muiv.ru/nnov/
Гуманитарные,Филиал в г. Сергиев Посад Московского университета имени С.Ю. Витте,"г. Сергиев Посад (Московская обл., Сергиево-Посадский р-н), пр-т Красной Армии, д. 212В",,(496) 549-20-93,http://www.muiv.ru/sposad
Гуманитарные,Дмитровский институт непрерывного образования Государственного университета «Дубна»,"г. Дмитров (Московская обл., Дмитровский р-н), мкр. ДЗФС, д.23",dmitrovdpk@gmail.com,(495) 993-76-18,http://www.dmitrov-dubna.ru
Гуманитарные,Филиал «Котельники» Государственного университета «Дубна»,"г. Котельники (Московская обл.), мкр. Силикат, д.35",uni_fkt@mail.ru,(495) 551-11-15,http://www.un-fkt.ru
Гуманитарные,Нижегородский филиал Московского гуманитарно-экономического института,"г. Нижний Новгород (Нижегородская обл.), Сормовское ш., д. 20",nfmgei@nfmgei.ru,"(831) 245-97-77, 245-97-99",http://www.nfmgei.ru
Гуманитарные,Новороссийский филиал Московского гуманитарно-экономического института,"г. Новороссийск (Краснодарский край), ул. Коммунистическая, д. 36",nf_mgei@mail.ru,(8617) 64-48-13,http://nvr-mgei.ru
Гуманитарные,Северо-Западный филиал Московского гуманитарно-экономического института,"г. Мурманск (Мурманская обл.), пр-т Кольский, д. 51",szf_mgai@com.mels.ru,(8152) 24-62-04,http://szfmgei.ru
Гуманитарные,Северо-Кавказский филиал Московского гуманитарно-экономического института,"г. Минеральные Воды (Ставропольский край), ул. Пушкина, д. 10",kolesnikmw26@yandex.ru,"(87922) 6-41-93, 6-92-07",http://skf-mgei.ru
Гуманитарные,Чувашский филиал Московского гуманитарно-экономического института,"г. Чебоксары (Чувашская респ.), ул. Гражданская, д. 85",cfmgei@yandex.ru,"(8352) 34-90-34, 34-90-35, 34-90-38",http://mgei.ucoz.ru
Гуманитарные,Воронежский филиал ГУМРФ им Макарова,"г. Воронеж (Воронежская обл.), Ленинский пр-т, д.174л",vfspguvk@mail.ru,"(473) 227-96-06, 227-96-36, 227-96-20","
Сайт
"
Гуманитарные,Котласский филиал ГУМРФ им. Макарова,"г. Котлас (Архангельская обл., Котласский р-н), ул. Володарского, д. 115",mail@kfspguwc.ru,"(8183) 73-39-31, 3-39-82",http://www.kfspbuwc.ru
Гуманитарные,Нижнекамский филиал Казанского инновационного университета имени В.Г. Тимирясова (ИЭУП),"г. Нижнекамск (Татарстан респ., Нижнекамский р-н), пр-т Шинников, д. 44",,(8555) 30-15-32,https://nzh.ieml.ru
Гуманитарные,Оренбургский институт путей сообщения Самарского государственного университета путей сообщения,"г. Оренбург (Оренбургская обл.), пр-д Коммунаров, д. 18",samaps@yandex.ru,(3532) 74-23-51 (приемная комиссия),http://origt.ru
Гуманитарные,Московский областной казачий институт технологий и управления (филиал МГУТУ),"Волоколамск, ул. Ново-Солдатская, д.29",priemnaja.mgutu-vf@yandex.ru (ПК),(49636) 2-67-23 (ПК),http://www.mgutu-vf.ru
Гуманитарные,Смоленский областной казачий институт промышленных технологий и бизнеса (филиал МГУТУ),"Смоленская область, г. Вязьма, ул. Ленина, 77",vyazma@vfmgutu.ru,(48131) 2-51-31,http://www.vfmgutu.ru
Гуманитарные,Башкирский институт технологий и управления (филиал МГУТУ),"Республика Башкортостан, г. Мелеуз, ул. Смоленская, д.34",mail@mfmgutu.ru,8 (34764) 3-07-72,http://www.mfmgutu.ru/
Гуманитарные,Московский областной филиал «Институт искусств и информационных технологий» Санкт-Петербургского Гуманитарного университета профсоюзов,"г. Москва, Льяловское ш., д. 1",3it-p@mail.ru,84992882594,http://www.inisk.ru/
Гуманитарные,Санкт-Петербургский филиал РТА им. В.Б. Бобкова,"Санкт-Петербург, ул. Софийская, д.52, лит.А",pk@spbrta.ru,+7 (812) 706-12-19; +7 (911) 179-13-71,http://spbrta.customs.ru/spbrta/index.php
Гуманитарные,Новосибирский технологический институт (филиал РГУ им. Косыгина),"Новосибирск, ул. Красный проспект, 35",abitura@ntirgu.ru,(383) 222-20-65 (ПК),http://www.ntirgu.ru/
Гуманитарные,Казанский филиал Российского государственного университета правосудия,"Казань, ул. 2-ая Азинская, д. 7-а",priem@kfrgup.ru,(843)202-26-50; (843) 290-63-13(ПК),http://kb.rgup.ru/
Гуманитарные,Северо-Кавказский филиал РГУП,"Краснодар, ул. Леваневского, 187/1",rapkrassnodar@mail.ru (ПК),(861) 251-69-20; (861) 253-60-69,http://ncb.raj.ru/
Гуманитарные,Новороссийский филиал Пятигорского государственного университета,(8617) 22-34-33,nf-pglu2005@yandex.ru,"г. Новороссийск (Краснодарский край), ул. Куникова, д. 47«Б»",http://nf-pgu.ru
Гуманитарные,"Институт сервиса, туризма и дизайна (филиал) Северо-Кавказского федерального университета","г. Пятигорск (Ставропольский край), ул. 40 лет Октября, д. 56",info@pfil.ncstu.ru,(8793) 97-39-27,http://www.pfncfu.ru/
Гуманитарные,Арзамасский филиал Нижегородского государственного университета им. Н.И. Лобачевского,"г. Арзамас (Нижегородская обл.), ул. Карла Маркса, д. 36",priem@arz.unn.ru,(83147) 9-45-69,http://www.arz.unn.ru
Гуманитарные,Алтайский институт экономики (филиал СПбУТУиЭ),"Барнаул, проспект Ленина, дом 106е",alt-ime@mail.ru,(3852) 36-10-55 (ПК),http://altame.ru/
Гуманитарные,Калининградский институт экономики (филиал СПбУТУиЭ),"Калининград, ул. К. Маркса, д. 17",secretar.kld@gmail.com; kldkomissiya@spbacu.ru (ПК),"(4012) 66-20-14, 66-20-13",http://klname.ru
Гуманитарные,Красноярский институт экономики (филиал СПбУТУиЭ),"Красноярск, ул. Ак. Киренского, 70а",pk@krkime.com,(391) 2-912-270,http://krkime.com
Гуманитарные,Калининградский филиал СПбГАУ,"Полесск, ул. Советская, д. 10",agro@spbgau-kf.ru,"(40158) 35295, 35747",http://spbgau-kf.ru
Гуманитарные,Дзержинский филиал Нижегородского государственного университета им. Н.И. Лобачевского,"г. Дзержинск (Нижегородская обл.), пер. Жуковского, д. 2",3fdo@mail.ru,"(8313) 26-18-12, 26-14-58",http://www.unn.ru/cdo/Dzerzhinsk
Гуманитарные,Павловский филиал Нижегородского государственного университета им. Н.И. Лобачевского,"г. Павлово (Нижегородская обл., Павловский р-н), ул. Шмидта, д. 7",fdo2-dekanat@unn.ru,"(83171) 2-40-43, 2-17-99",http://www.unn.ru/cdo/Pavlovo.html
Гуманитарные,Кизлярский филиал Дагестанского государственного университета,"г. Кизляр (Дагестан респ.), ул. Сулеймана Стальского, д. 1е",kizfildgu@mail.ru,(87239) 2-16-21,http://www.dgukiz.ru
Гуманитарные,Набережночелнинский институт КФУ (филиал),"Набережные Челны, пр.Сююмбике, д.10А",chelny@kpfu.ru,(8552) 39-71-40,http://kpfu.ru/chelny
Гуманитарные,Елабужский институт КФУ (филиал),"Елабуга, ул. Казанская, д. 89",elabuga@kpfu.ru,"(85557) 7-53-50, 7-54-21",http://kpfu.ru/elabuga
Гуманитарные,Бугульминский филиал КНИТУ,"Бугульма, ул. Красноармейская, д. 9",bf-kgtu@yandex.ru,(85594) 4-52-38,http://bfknitu.com
Гуманитарные,Филиал в г. Туапсе Российского государственного гидрометеорологического университета,"г. Туапсе (Краснодарский край, Туапсинский р-н), ул. Морская, д. 4",rggmu@mail.ru,(86167) 2-51-30,http://www.tuapse.rshu.ru
Гуманитарные,Орский гуманитарно-технологический институт (филиал) Оренбургского государственного университета,"г. Орск (Оренбургская обл.), пр-т Мира, д. 15А",ogti_adm@ogti.orsk.ru,(3537) 23-65-80,http://og-ti.ru
Гуманитарные,Омский институт водного транспорта (филиал) Сибирского государственного университета водного транспорта,"г. Омск (Омская обл.), ул. Ивана Алексеева, д. 4",omsk@nsawt.ru,+7(3812) 24-09-94,http://oivt-sguwt.ru/
Гуманитарные,Институт законоведения и управления ВПА,"г. Тула (Тульская обл.), ул. Болдина, д. 98",start@izuvpa.ru,(4872) 24-76-16,http://izuvpa.ru/
Гуманитарные,Институт бизнеса и делового администрирования РАНХиГС,"г. Москва, пр-т Вернадского, д. 82, корп. 5, офис 219",ibda@ibda.ranepa.ru,(495) 937-07-47,http://ibda.ranepa.ru
Гуманитарные,Московский инновационный университет,"г. Москва, ул. Малая Ордынка, 7",miu-moskow@mail.ru,+74959531165,"
Сайт
www.miu-edu.ru"
Гуманитарные,Московский государственный университет пищевых производств,"125080, г. Москва, Волоколамское ш., 11",mgupp@mgupp.ru,+7(499)750-01-11,http://www.mgupp.ru
Гуманитарные,Московский политехнический университет,"107023, г. Москва, ул. Большая Семёновская, д. 38",priem@mospolytech.ru,8 (495) 223-05-22,https://new.mospolytech.ru/
Гуманитарные,Академия социального управления,"129344, Российская Федерация, г. Москва, ул. Енисейская, д.3, корп.5",asou-priem@mail.ru,88007007730,http://asou-mo.ru/
Гуманитарные,Институт отраслевого менеджмента РАНГХиГС,"г. Москва, пр-т Вернадского, 82, стр.4 (3 корп. РАНХиГС)",iim@ranepa.ru,+74954345048,https://iim.ranepa.ru
Гуманитарные,Крымский федеральный университет имени В. И. Вернадского,"295007, Республика Крым, г. Симферополь, просп. Академика Вернадского, д. 4.",cf_university@mail.ru,+7 (3652) 54-50-36,https://cfuv.ru/
Гуманитарные,Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева,"660037, Сибирский федеральный округ, Красноярский край, г. Красноярск, проспект им. газеты Красноярский рабочий, 31",priemsibsau@sibsau.ru,"+7 (391) 262-95-96, +7 (391) 291-91-75 (приемная комиссия)",https://www.sibsau.ru/
Гуманитарные,Орловский Государственный институт культуры,"302020, Орловская область, г. Орел, ул. Лескова, д. 15",priem.ogiik@mail.ru,+7-953-620-80-29,http://ogiik.orel.ru/index.html
Гуманитарные,Российский государственный университет туризма и сервиса,"г. Пушкино (Московская обл., Пушкинский р-н), Пушкинский р-н, дп Черкизово, ул. Главная, д. 99",v_rgutis@mail.ru,(495) 645-05-52,http://new.rguts.ru
Гуманитарные,Московский государственный университет технологий и управления им. К.Г. Разумовского,"г. Москва, ул. Земляной Вал, д.73 Приёмная комиссия: ул. Народного Ополчения, д.38, корп.2",rectorat@mgutm.ru,+7(495)640-54-36,"
Сайт
mgutm.ru"
Гуманитарные,Российская таможенная академия,"Московская область, г.Люберцы, Комсомольский проспект, д. 4",rta_2009@mail.ru,+7 (495) 559-00-33,http://rta.customs.ru/
Гуманитарные,Академия федеральной службы безопасности Российской Федерации,"г. Москва, Мичуринский пр-т, д. 70",info@academy.fsb.ru,(495) 931-10-11,http://www.academy.fsb.ru
Гуманитарные,Российский государственный геологоразведочный университет им. С. Орджоникидзе,"Москва, ул. Миклухо-Маклая, д.23",office@mgri-rggru.ru,+7 (495) 433-62-56,http://mgri-rggru.ru
Гуманитарные,Московский педагогический государственный университет,"г. Москва, пр-т Вернадского, д. 88",priem@mpgu.edu,"(495) 438-18-47, 438-18-57","
Сайт
мпгу.рф"
Гуманитарные,Военный университет Министерства обороны Российской Федерации,"г. Москва, Б. Садовая ул., д. 14",vu-nu@mil.ru,"(495) 684-95-36, 699-71-60, 699-08-16, (499) 763-59-00",http://vumo.mil.ru/
Гуманитарные,Московский государственный университет леса (Мытищинский филиал МГТУ им. Н. Э. Баумана),"Московская область, г. Мытищи-5, ул. 1-я Институтская, д. 1",priem@mgul.ac.ru,"8 (495) 586-93-35, 8 (498) 687-36-24",http://www.msfu.ru/
Гуманитарные,Московский социально-педагогический институт,"г.Москва, ул. Фридриха Энгельса, д.75, стр. 3",pro@mspi.edu.ru,8 (499) 963-80-71,http://mspi.edu.ru/
Гуманитарные,Православный Свято-Тихоновский гуманитарный университет,"г. Москва, ул. Новокузнецкая, д. 23, стр. 5А",priemkom@pstgu.ru,"(800) 100-77-18 (бесплатно по России), (495) 953-92-53, (495) 951-67-84 (приемная комиссия)",http://pstgu.ru
Гуманитарные,Институт экономики и антикризисного управления,"г. Москва, ул. Вавилова, д. 53, корп. 3",pk_ieay@mail.ru,"(495) 988-64-64, (495) 517-81-29",http://www.ieay.ru
Гуманитарные,Балтийская академия туризма и предпринимательства,"Санкт-Петербург, улица Петрозаводская,  дом 13, лит. А",priem@batp.ru,(812) 235-41-09,http://batp.ru/
Гуманитарные,Российский государственный педагогический университет имени А. И. Герцена,"г. Санкт-Петербург, наб. реки Мойки, д. 48",mail@herzen.spb.ru,"(812) 312-44-92, (812) 643-77-66 (приемная комиссия)",http://www.herzen.spb.ru/
Гуманитарные,Санкт-Петербургский Гуманитарный университет профсоюзов,"г. Санкт-Петербург, ул. Фучика, д. 15",info@gup.ru,"(812) 327-27-28, 327-27-37, 269-19-36, 327-27-28, (800) 333-52-02",http://www.gup.ru/
Гуманитарные,Санкт-Петербургский государственный университет аэрокосмического приборостроения,"г. Санкт-Петербург, ул. Большая Морская, д. 67",common@aanet.ru,(812) 710-65-10  ф.: (812) 710-65-10,http://new.guap.ru/
Гуманитарные,Омский государственный технический университет,"г. Омск (Омская обл.), пр. Мира, д. 11",pk@omgtu.ru,(3812) 72-90-55 (приемная комиссия),http://www.omgtu.ru
Гуманитарные,Пензенский государственный университет,"Пенза, ул. Красная, 40",cnit@pnzgu.ru; priem@pnzgu.ru (ПК),(8412) 56 35 11; (8412) 36-82-93 (ПК),http://www.pnzgu.ru
Дизайна,Московский государственный технический университет им. Н.Э. Баумана,"105005, Москва, 2-я Бауманская ул., д. 5, стр. 1",bauman@bmstu.ru,499 263-63-91,http://www.bmstu.ru/
Дизайна,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,"г. Москва, пр-т Вернадского, д. 82",information@ranepa.ru,"(499) 956-95-44, 270-29-47 (пр. комиссия), (499) 956-99-99 (многоканальный)",https://www.ranepa.ru/
Дизайна,Российский государственный социальный университет,"г. Москва, ул. Вильгельма Пика, д. 4",pk@rgsu.net,+7 (495) 255-67-77 (приемная комиссия),"
Сайт
www.rgsu.net"
Дизайна,Московский государственный областной университет,"г. Москва, ул. Радио, д. 10а",priemka@mgou.ru,"(495) 780-09-41 доб.1414, 1410 (приемная комиссия)",http://www.mgou.ru
Дизайна,Московский информационно-технологический университет – Московский архитектурно-строительный институт,"г. Москва, ул. 3-я Кабельная, д. 1",pk@masi.ru,(495) 925-53-53,http://www.masi.ru
