;Вуз;Адрес;e-mail;Телефон;Сайт;Категории;Url;Url_With_Coordinates;lat;long
219;Казанский государственный архитектурно-строительный университет;г. Казань (Татарстан респ.), ул. Зеленая, д. 1;info@ksaba.ru;(843) 510-46-01;http://www.kgasu.ru;Архитектурные,Биологические,Гуманитарные,Дизайна,Информационные,Географические,Строительные,Транспортные;https://www.google.com/maps/search/г. Казань (Татарстан респ.), ул. Зеленая, д. 1;https://maps.google.com/maps/api/staticmap?center=55.7417632%2C49.2788506&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=rX4vLYCNIFRkxv7teD7NVG0jSYY;55.7417632;49.2788506
220;Казанский государственный институт культуры;Казань, Оренбургский тракт,3;info@kazgik.ru;"(843) 277-58-36; (843) 277-59-17 (ПК)";http://kazgik.ru/;Вузы культуры,Гуманитарные,Дизайна,Информационные,Педагогические,Сервиса;https://www.google.com/maps/search/Казань, Оренбургский тракт,3;https://maps.google.com/maps/api/staticmap?center=55.76187%2C49.152856&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Jfz3xVSyP0cf9QnzYIf3fqvdZQM;55.76187;49.152856
221;Казанский государственный медицинский университет;г. Казань (Татарстан респ.), ул. Бутлерова, д. 49;rector@kgmu.kcn.ru;(843) 236-12-72;http://www.kgmu.kcn.ru;Биологические,Вузы культуры,Медицинские;https://www.google.com/maps/search/г. Казань (Татарстан респ.), ул. Бутлерова, д. 49;https://maps.google.com/maps/api/staticmap?center=55.7907451%2C49.1410039&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=bpqEQxS0NROPgqIUiYy4OsttE38;55.7907451;49.1410039
222;Казанский государственный энергетический университет;г. Казань (Татарстан респ.), ул. Красносельская, д. 51;pr-kgeu@yandex.ru;(843) 519-42-23, 527-92-78;http://www.kgeu.ru;Биологические,Гуманитарные,Информационные,Экономические,Технические;https://www.google.com/maps/search/г. Казань (Татарстан респ.), ул. Красносельская, д. 51;https://maps.google.com/maps/api/staticmap?center=55.8165803%2C49.0944704&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Co_MB4Dj0S_g4QwPOeboIB61bR0;55.8165803;49.0944704
223;Казанский инновационный университет имени В.Г. Тимирясова (ИЭУП);г. Казань (Татарстан Респ.), ул. Московская, д. 42;priem@ieml.ru;(843) 231-92-97, 231-92-90;http://www.ieml.ru;Биологические,Гуманитарные,Дизайна,Информационные,Экономические,Педагогические,Сервиса,Психологические,Пищевые,Юридические;https://www.google.com/maps/search/г. Казань (Татарстан Респ.), ул. Московская, д. 42;https://maps.google.com/maps/api/staticmap?center=55.787753%2C49.108425&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=CeYNRyiSUFQ4QkJBzhiNlQefc-Q;55.787753;49.108425
224;Казанский институт (филиал) Всероссийского государственного университета юстиции;г. Казань (Татарстан респ.), ул. Карбышева, д. 5а;info@kazanrpa.ru;(843) 298-65-75, 275-94-80;http://www.kazanrpa.ru/;Юридические;https://www.google.com/maps/search/г. Казань (Татарстан респ.), ул. Карбышева, д. 5а;https://maps.google.com/maps/api/staticmap?center=55.7660491%2C49.1788938&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=2IyWiqH_a8QvVmudf5jodsidYQk;55.7660491;49.1788938
225;Казанский кооперативный институт Российского университета кооперации;г. Казань (Татарстан респ.), ул. Н. Ершова, д. 58;;(843) 272-39-31, 210-30-25, (987) 297-92-97;"
Сайт
kazan.ruc.su";Гуманитарные,Информационные,Экономические,Сервиса,Пищевые,Юридические;https://www.google.com/maps/search/г. Казань (Татарстан респ.), ул. Н. Ершова, д. 58;https://maps.google.com/maps/api/staticmap?center=55.7952634%2C49.1743616&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=jwvGy_K_DhfL65Tz8vY02W1hKoY;55.7952634;49.1743616
226;Казанский национальный исследовательский технологический университет;Казань, ул.К.Маркса, 68;"office@kstu.ru; priem@kstu.ru (ПК)";"+7 (843) 231-42-00; +7 (843) 236-78-33 (ПК)";http://www.kstu.ru/;Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Экономические,Медицинские,Педагогические,Сервиса,Строительные,Технические,Нефтяные,Психологические,Транспортные,Пищевые;https://www.google.com/maps/search/Казань, ул.К.Маркса, 68;https://maps.google.com/maps/api/staticmap?center=55.794674%2C49.1379056&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=RQJNu1Sw63qJbcfebydpP-XsxFg;55.794674;49.1379056
227;Казанский филиал Российского государственного университета правосудия;Казань, ул. 2-ая Азинская, д. 7-а;priem@kfrgup.ru;"(843)202-26-50; (843) 290-63-13(ПК)";http://kb.rgup.ru/;Гуманитарные,Юридические;https://www.google.com/maps/search/Казань, ул. 2-ая Азинская, д. 7-а;https://maps.google.com/maps/api/staticmap?center=55.802357%2C49.207462&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=TOJFoaXFvzA2fb6WO4z4uVoU9dU;55.802357;49.207462
228;Казанский филиал Российской международной академии туризма;г. Казань (Татарстан респ.), ул. Профсоюзная, д. 13 16;kf-rmat2014@yandex.ru;(843) 279-73-15;http://www.kf-rmat.ru;Гуманитарные,Сервиса;https://www.google.com/maps/search/г. Казань (Татарстан респ.), ул. Профсоюзная, д. 13 16;https://maps.google.com/maps/api/staticmap?center=55.7915984%2C49.1158754&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DKR8rgyDCvYGS0emZHREq_L32Hs;55.7915984;49.1158754
229;Калининградский государственный технический университет;г. Калининград (Калининградская обл.), Советский пр-т, д. 1;pk@klgtu.ru;(4012) 99-59-95;http://www.klgtu.ru;Аграрные,Биологические,Гуманитарные,Информационные,Экономические,Медицинские,Строительные,Технические,Психологические,Транспортные,Пищевые;https://www.google.com/maps/search/г. Калининград (Калининградская обл.), Советский пр-т, д. 1;https://maps.google.com/maps/api/staticmap?center=54.7207438%2C20.4970282&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=5Ff59NLgdo7Lhw37PuF8GXiuqHI;54.7207438;20.4970282
230;Калининградский институт экономики (филиал СПбУТУиЭ);Калининград, ул. К. Маркса, д. 17;"secretar.kld@gmail.com; kldkomissiya@spbacu.ru (ПК)";(4012) 66-20-14, 66-20-13;http://klname.ru;Гуманитарные,Экономические,Сервиса;https://www.google.com/maps/search/Калининград, ул. К. Маркса, д. 17;https://maps.google.com/maps/api/staticmap?center=54.726951%2C20.4773141&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=JyXiJsyS_s1dLa-_88yAQDFEIqg;54.726951;20.4773141
231;Калининградский филиал Российского университета кооперации;г. Калининград (Калининградская обл.), ул. Карла Маркса, д. 15-17;kaliningrad@ruc.su;(4012) 21-78-87, +7(981) 464-47-31;http://kaliningrad.ruc.su/;Гуманитарные,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Калининград (Калининградская обл.), ул. Карла Маркса, д. 15-17;https://maps.google.com/maps/api/staticmap?center=54.7271185%2C20.4780224&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=8VwTKFNJeGKiE6wsh0pa4WK8cvE;54.7271185;20.4780224
232;Калининградский филиал СПбГАУ;Полесск, ул. Советская, д. 10;agro@spbgau-kf.ru;(40158) 35295, 35747;http://spbgau-kf.ru;Аграрные,Гуманитарные,Экономические,Технические;https://www.google.com/maps/search/Полесск, ул. Советская, д. 10;https://maps.google.com/maps/api/staticmap?center=54.8636568%2C21.1048056&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=2Iq7yBwWK7EHqDcqaVcYhvtL1Es;54.8636568;21.1048056
233;Калужский институт (филиал) Всероссийского государственного университета юстиции;г. Калуга (Калужская обл.), ул. Болдина, д.67, стр.7;rpakf@kaluga.net;(4842) 220-112, 220-109;http://rpa-mu-kf.ru/;Юридические;https://www.google.com/maps/search/г. Калуга (Калужская обл.), ул. Болдина, д.67, стр.7;https://maps.google.com/maps/api/staticmap?center=54.5010336%2C36.3031752&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=i2B5MO3VrkDoKreB8BYjXF3_fNw;54.5010336;36.3031752
234;Калужский филиал Московского гуманитарно-экономического института;г. Калуга (Калужская обл.), ул. Кирова, д. 29;kfmgei@mail.ru;(4842) 57-74-72, 56-51-95;http://mgei.kaluga.ru;Гуманитарные,Дизайна,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Калуга (Калужская обл.), ул. Кирова, д. 29;https://maps.google.com/maps/api/staticmap?center=54.5145969%2C36.2621536&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=lxHBN-xiFEbMujQRczzjn09P9wA;54.5145969;36.2621536
235;Калужский филиал Российского государственного аграрного университета - МСХА им. К.А. Тимирязева;г. Калуга (Калужская обл.), ул. Вишневского, д. 27;kfmsxa@kaluga.ru;(4842) 72-50-22, 72-51-40 (приемная комиссия);http://www.kaluga.timacad.ru;Аграрные,Биологические,Гуманитарные,Географические,Экономические,Медицинские,Технические;https://www.google.com/maps/search/г. Калуга (Калужская обл.), ул. Вишневского, д. 27;https://maps.google.com/maps/api/staticmap?center=54.536746%2C36.163405&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=wmKj5xBFqMozzP-26u_BConYkso;54.536746;36.163405
236;Калужский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Калуга (Калужская обл.), Окружная ул., д. 4, корп. 3;mail@klg.ranepa.ru;(4842) 57-74-70, 55-13-08, 55-13-08;http://klg.ranepa.ru/;Гуманитарные,Юридические;https://www.google.com/maps/search/г. Калуга (Калужская обл.), Окружная ул., д. 4, корп. 3;https://maps.google.com/maps/api/staticmap?center=54.5298627%2C36.2646135&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=BCVdjUoH7Vx5Yo9StxWxRilX9zs;54.5298627;36.2646135
237;Калужский филиал Финансового университета при Правительстве Российской Федерации;г. Калуга (Калужская обл.), ул. Чижевского, д. 17;fa-kaluga@fa.ru;(4842) 74-31-76;http://www.fa.ru/fil/kaluga/about/Pages/default.aspx;Гуманитарные,Информационные,Экономические;https://www.google.com/maps/search/г. Калуга (Калужская обл.), ул. Чижевского, д. 17;https://maps.google.com/maps/api/staticmap?center=54.5173514%2C36.2721045&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=rcwhJ6Rk_fiOtv99f0rJwexvaHM;54.5173514;36.2721045
238;Камчатский филиал Российского университета кооперации;г. Петропавловск-Камчатский (Камчатский край), ул. Ключевская, д. 11;pk@rucoop.ru;(4152) 42-80-01, (914) 780-13-86, (4152) 41-09-78;http://pk.ruc.su/;Гуманитарные,Экономические,Сервиса,Пищевые,Юридические;https://www.google.com/maps/search/г. Петропавловск-Камчатский (Камчатский край), ул. Ключевская, д. 11;https://maps.google.com/maps/api/staticmap?center=53.0341653%2C158.6407759&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=z3kxydInUh0vF21kUaBiP_7sDPk;53.0341653;158.6407759
239;Карельский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Петрозаводск (Карелия респ.), ул. Чапаева, д. 6А;okpk@krl.ranepa.ru;(8142) 72-21-01;http://www.krl.ranepa.ru/;Гуманитарные,Экономические,Юридические;https://www.google.com/maps/search/г. Петрозаводск (Карелия респ.), ул. Чапаева, д. 6А;https://maps.google.com/maps/api/staticmap?center=61.787518%2C34.335522&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=SYhxHDz8SI6bHhyjVZT1or91FK0;61.787518;34.335522
240;Кемеровский государственный институт культуры;г. Кемерово (Кемеровская обл.), Ворошилова ул., д. 17;abitur@kemguki.ru;(384) 273-28-56, 273-28-08;http://www.kemguki.ru/;Вузы культуры,Гуманитарные,Дизайна,Информационные,Сервиса;https://www.google.com/maps/search/г. Кемерово (Кемеровская обл.), Ворошилова ул., д. 17;https://maps.google.com/maps/api/staticmap?center=55.3365535%2C86.1613725&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=qm4ZJLT4i2mr71QA3VL6RYdw9t8;55.3365535;86.1613725
241;Кемеровский государственный медицинский университет;Кемерово, ул. Ворошилова, 22а;"kemsma@kemsma.ru; abit@kemsma.ru (ПК)";"(3842) 734856; (3842) 73-28-39 (ПК)";http://www.kemsma.ru/;Медицинские;https://www.google.com/maps/search/Кемерово, ул. Ворошилова, 22а;https://maps.google.com/maps/api/staticmap?center=55.338015%2C86.164043&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=S1cVWSMdAyrNImrr2ST1iEjP5Z8;55.338015;86.164043
242;Кемеровский государственный университет;Кемерово, ул. Красная, 6;"rector@kemsu.ru; priem@kemsu.ru (ПК)";"(3842) 58-38-85; (3842) 58-39-12";http://www.kemsu.ru/;Архитектурные,Биологические,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Спортивные,Строительные,Нефтяные,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/Кемерово, ул. Красная, 6;https://maps.google.com/maps/api/staticmap?center=55.3516728%2C86.0916276&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=L1X2W0iRXJ_6LFjdDoYIM4n0_x4;55.3516728;86.0916276
243;Кемеровский институт (филиал) Российского экономического университета имени Г.В. Плеханова;г. Кемерово (Кемеровская обл.), Кузнецкий пр-т, д. 39;kemerovo@rea.ru;(3842) 75-43-98;http://kemerovo.rea.ru/;Гуманитарные,Экономические,Психологические,Юридические;https://www.google.com/maps/search/г. Кемерово (Кемеровская обл.), Кузнецкий пр-т, д. 39;https://maps.google.com/maps/api/staticmap?center=55.3522797%2C86.0631321&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=EtALVhjIeCNaOPlvgGb6i-WbG_w;55.3522797;86.0631321
244;Кизлярский филиал Дагестанского государственного университета;г. Кизляр (Дагестан респ.), ул. Сулеймана Стальского, д. 1е;kizfildgu@mail.ru;(87239) 2-16-21;http://www.dgukiz.ru;Биологические,Гуманитарные,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Кизляр (Дагестан респ.), ул. Сулеймана Стальского, д. 1е;https://maps.google.com/maps/api/staticmap?center=43.37620775%2C47.1501075&zoom=9&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=yVEUI3anfZzcurznJp5ZaO0cfuk;43.37620775;47.1501075
245;Кировская государственная медицинская академия;г. Киров (Кировская обл.), ул. Карла Маркса, д. 137;priem@kirovgma.ru;(8332) 67-82-90, 64-09-76, 64-07-34;http://www.kirovgma.ru/;Биологические,Гуманитарные,Экономические,Медицинские,Психологические;https://www.google.com/maps/search/г. Киров (Кировская обл.), ул. Карла Маркса, д. 137;https://maps.google.com/maps/api/staticmap?center=58.5881734%2C49.6687904&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=XJr19bP5ZYHmpJI48XVHylp8NAk;58.5881734;49.6687904
246;Кировский филиал Московского финансово-юридического университета МФЮА;г. Киров (Кировская обл.), ул. Ленина, д. 104;Kirov@mfua.ru;(8332) 37-18-78, 37-47-04, 37-47-07;http://kr.mfua.ru/;Гуманитарные,Дизайна,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Киров (Кировская обл.), ул. Ленина, д. 104;https://maps.google.com/maps/api/staticmap?center=58.5915873%2C49.6824928&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=5zkW2pYmHxLHcM04QZOw5lRrr2o;58.5915873;49.6824928
247;Кировский филиал Российской академии народного хозяйства и государственной службы при Президенте РФ;г. Киров (Кировская обл.), ул. Ленина, д. 25;pk@krv.ranepa.ru;(8332) 64-10-56, 38-50-44;http://www.krv.ranepa.ru/;Гуманитарные,Экономические,Юридические;https://www.google.com/maps/search/г. Киров (Кировская обл.), ул. Ленина, д. 25;https://maps.google.com/maps/api/staticmap?center=58.612285%2C49.679224&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=hOp_9wIbxtt5IEZjff5pw-49Y48;58.612285;49.679224
248;Клинский филиал Российского государственного социального университета;г. Клин (Московская обл., Клинский р-н), Волоколамское ш., д. 20 1;klin@rgsu.net;(496) 245-83-51, 245-87-95;http://klin.rgsu.net;Гуманитарные,Экономические,Педагогические,Юридические;https://www.google.com/maps/search/г. Клин (Московская обл., Клинский р-н), Волоколамское ш., д. 20 1;https://maps.google.com/maps/api/staticmap?center=56.32833915%2C36.6945478&zoom=16&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=3g9L_Xl7M3sPImveJwxVC9s-BvM;56.32833915;36.6945478
249;Котласский филиал ГУМРФ им. Макарова;г. Котлас (Архангельская обл., Котласский р-н), ул. Володарского, д. 115;mail@kfspguwc.ru;(8183) 73-39-31, 3-39-82;http://www.kfspbuwc.ru;Гуманитарные,Экономические,Технические,Транспортные;https://www.google.com/maps/search/г. Котлас (Архангельская обл., Котласский р-н), ул. Володарского, д. 115;https://maps.google.com/maps/api/staticmap?center=61.2636441%2C46.661725&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Q-ZKLV5GlFpSUFxf5LQRrF28Pwc;61.2636441;46.661725
250;Краснодарский государственный институт культуры;г. Краснодар, ул.им.40–летия Победы, 33;"kguki@list.ru; priemvkguki@rambler.ru (ПК)";"(861) 257-76-32; (861) 257-76-28 (ПК)";http://kguki.com/;Вузы культуры,Гуманитарные,Дизайна,Информационные,Сервиса;https://www.google.com/maps/search/г. Краснодар, ул.им.40–летия Победы, 33;https://maps.google.com/maps/api/staticmap?center=45.0567015%2C39.012052&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=fvGECgM9COHsY16Rb89dagnir6s;45.0567015;39.012052
251;Краснодарский кооперативный институт (филиал) Российского университета кооперации;г. Краснодар (Краснодарский край), ул. Митрофана Седина, д. 168 1;krasnodar@rucoop.ru;(900) 231-00-50, (861) 255-15-72 (доб.126);"
Сайт
www.krasnodar.ruc.su";Гуманитарные,Информационные,Экономические,Сервиса,Пищевые,Юридические;https://www.google.com/maps/search/г. Краснодар (Краснодарский край), ул. Митрофана Седина, д. 168 1;https://maps.google.com/maps/api/staticmap?center=45.0385096%2C38.9820901&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Kk8_PNnnL2af_FDzthDG3s-iUQQ;45.0385096;38.9820901
252;Краснодарский университет Министерства внутренних дел Российской Федерации;г. Краснодар (Краснодарский край), ул. Ярославская, д. 128;priemnaya@krdu-mvd.ru;(861) 258-40-03;https://krdu.mvd.ru/;Информационные,МВД,Юридические;https://www.google.com/maps/search/г. Краснодар (Краснодарский край), ул. Ярославская, д. 128;https://maps.google.com/maps/api/staticmap?center=45.09397975%2C38.98854105&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=_VlaiqkNXPOBaE4xhJDWYUTcp9k;45.09397975;38.98854105
253;Краснодарский филиал Российского экономического университета имени Г.В. Плеханова;г. Краснодар (Краснодарский край), ул. Садовая, д. 23;krasnodar@rea.ru;(861) 201-10-78, 251-21-40, 201-10-71;http://reakf.ru;Гуманитарные,Экономические,Пищевые;https://www.google.com/maps/search/г. Краснодар (Краснодарский край), ул. Садовая, д. 23;https://maps.google.com/maps/api/staticmap?center=45.030664%2C38.991435&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=KQo8lbaZZ9a1JnE5paHqPIjkFcY;45.030664;38.991435
254;Краснодарский филиал Финансового университета при Правительстве Российской Федерации;г. Краснодар (Краснодарский край), ул. Ш. Нефтяников   ул. им. Ф.Лузана, д. 32 34;krasnodar@fa.ru;(861) 215-63-63;http://www.fa.ru/fil/krasnodar/about/Pages/default.aspx;Гуманитарные,Информационные,Экономические;https://www.google.com/maps/search/г. Краснодар (Краснодарский край), ул. Ш. Нефтяников   ул. им. Ф.Лузана, д. 32 34;https://maps.google.com/maps/api/staticmap?center=45.0687012%2C38.9822053&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=LPapJ6DaTJld-4WbYqclH3H-q20;45.0687012;38.9822053
255;Красноярский государственный аграрный университет;г. Красноярск (Красноярский край), ул Елены Стасовой, д. 44;info@kgau.ru;(391) 227-36-09, 247-21-35;http://www.kgau.ru;Аграрные,Архитектурные,Биологические,Гуманитарные,Географические,Экономические,Медицинские,Строительные,Психологические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Красноярск (Красноярский край), ул Елены Стасовой, д. 44;https://maps.google.com/maps/api/staticmap?center=56.0239742%2C92.7381271&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ryctQWkhhZFHzRCqsOvEmaQ5IXA;56.0239742;92.7381271
256;Красноярский государственный институт искусств;г. Красноярск, ул. Ленина, 22;"info@kgii.ru; kgamit24@gmail.com (ПК)";"(391) 212-41-74; (391) 227-82-18 (ПК)";http://kgii.ru/;Вузы культуры,Дизайна;https://www.google.com/maps/search/г. Красноярск, ул. Ленина, 22;https://maps.google.com/maps/api/staticmap?center=56.01562%2C92.889562&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=oxrcTJd_-BOGB9nQj2nolHd90v0;56.01562;92.889562
257;Красноярский государственный медицинский университет им. проф. В.Ф. Войно-Ясенецкого;Красноярск, ул. Партизана Железняка, 1;rector@krasgmu.ru;"(391) 220-13-95; (391) 228-08-58 (ПК)";http://krasgmu.ru/;Медицинские,Психологические;https://www.google.com/maps/search/Красноярск, ул. Партизана Железняка, 1;https://maps.google.com/maps/api/staticmap?center=56.0241182%2C92.9060753&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=1hooULCNyDqwdr7fA_SVBAzVtw0;56.0241182;92.9060753
258;Красноярский государственный педагогический университет им. В.П. Астафьева;г. Красноярск, улица Ады Лебедевой, 89;kspu@kspu.ru;"(391) 217–17–17; (391) 217–17–11 (ПК)";http://www.kspu.ru/;Гуманитарные,Педагогические,Спортивные,Психологические;https://www.google.com/maps/search/г. Красноярск, улица Ады Лебедевой, 89;https://maps.google.com/maps/api/staticmap?center=56.015057%2C92.86006&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=M0CxTkb3xWvG4m4jkaj6I9qb4-s;56.015057;92.86006
259;Красноярский институт экономики (филиал СПбУТУиЭ);Красноярск, ул. Ак. Киренского, 70а;pk@krkime.com;(391) 2-912-270;http://krkime.com;Гуманитарные,Экономические,Сервиса;https://www.google.com/maps/search/Красноярск, ул. Ак. Киренского, 70а;https://maps.google.com/maps/api/staticmap?center=56.0075069%2C92.8023174&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=1I803u0unJ99sllstjrGKAdcWAs;56.0075069;92.8023174
260;Крымский университет культуры, искусств и туризма;295017, Республика Крым, г. Симферополь, ул. Киевская, д.39;kukiit2005@gmail.com;8(3652) 27-31-07;http://kukiit.ru/;Вузы культуры,Дизайна,Информационные,Сервиса;https://www.google.com/maps/search/295017, Республика Крым, г. Симферополь, ул. Киевская, д.39;https://maps.google.com/maps/api/staticmap?center=44.9529689%2C34.1214349&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=W8bwT4vEkpXF3bx1plHidiW9NQI;44.9529689;34.1214349
261;Крымский федеральный университет имени В. И. Вернадского;295007, Республика Крым, г. Симферополь, просп. Академика Вернадского, д. 4.;cf_university@mail.ru;+7 (3652) 54-50-36;https://cfuv.ru/;Аграрные,Архитектурные,Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Медицинские,Педагогические,Сервиса,Спортивные,Строительные,Психологические,Пищевые,Юридические;https://www.google.com/maps/search/295007, Республика Крым, г. Симферополь, просп. Академика Вернадского, д. 4.;https://maps.google.com/maps/api/staticmap?center=44.9365258%2C34.1341319&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=lpPG34KEemY9KkgY5GjLh05vfhs;44.9365258;34.1341319
262;Кубанский государственный аграрный университет;г. Краснодар, ул. Калинина, 13;mail@kubsau.ru;"(861) 221-59-42; (861) 221-58-18 (ПК)";http://kubsau.ru/;Аграрные,Биологические,Гуманитарные,Информационные,Географические,Экономические,Медицинские,Строительные,Технические,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Краснодар, ул. Калинина, 13;https://maps.google.com/maps/api/staticmap?center=45.0418333%2C38.91968195&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=OHrGDn0t_M211Ubf5XLOYzkfuKU;45.0418333;38.91968195
263;Кубанский государственный медицинский университет;г.Краснодар, ул.Седина,4;"corpus@ksma.ru; pr_com@ksma.ru (ПК)";"(861)268-36-84; (861) 268 68 50 (ПК)";http://www.ksma.ru/;Медицинские;https://www.google.com/maps/search/г.Краснодар, ул.Седина,4;https://maps.google.com/maps/api/staticmap?center=45.0148591%2C38.974969&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=KpKmj5W77q5s94qAJPTASwlyXRE;45.0148591;38.974969
264;Кубанский государственный технологический университет;г. Краснодар (Краснодарский край), ул. Московская, д. 2;adm@kgtu.kuban.ru;(861) 255-25-32 (пр. комиссия), 255-84-01, 255-03-85;http://kubstu.ru;Авиационные,Биологические,Гуманитарные,Информационные,Географические,Экономические,Сервиса,Строительные,Технические,Нефтяные,Транспортные,Пищевые,Юридические;https://www.google.com/maps/search/г. Краснодар (Краснодарский край), ул. Московская, д. 2;https://maps.google.com/maps/api/staticmap?center=45.0506174%2C39.0033001&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Mo1_VMwlQv94xux95pha9x8I2Ic;45.0506174;39.0033001
265;Кубанский государственный университет;г. Краснодар (Краснодарский край), Ставропольская ул., д. 149;abitur@kubsu.ru;(861) 219-95-01, 219-95-30;http://www.kubsu.ru;Архитектурные,Биологические,Вузы культуры,Гуманитарные,Дизайна,Информационные,Географические,Экономические,Педагогические,Сервиса,Нефтяные,Психологические,Юридические;https://www.google.com/maps/search/г. Краснодар (Краснодарский край), Ставропольская ул., д. 149;https://maps.google.com/maps/api/staticmap?center=45.02076045%2C39.031402&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ypj4cGJxBFJJwvH7xxEdTZCHSjI;45.02076045;39.031402
266;Кубанский государственный университет физической культуры, спорта и туризма;г. Краснодар (Краснодарский край), ул. Буденного, д. 161;priem@kgufkst.ru;(8612) 59- 26- 77;http://www.kgafk.ru;Вузы культуры,Гуманитарные,Педагогические,Сервиса,Спортивные,Психологические;https://www.google.com/maps/search/г. Краснодар (Краснодарский край), ул. Буденного, д. 161;https://maps.google.com/maps/api/staticmap?center=45.0350357%2C38.981301&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=QpJnbk2k4aLjt75APZs7V3ydfkQ;45.0350357;38.981301
267;Кузбасский государственный технический университет;г. Кемерово (Кемеровская обл.), Весенняя ул., д. 28;priem@kuzstu.ru;(3842) 58-30-14, 58-67-91;http://www.kuzstu.ru/;Биологические,Гуманитарные,Информационные,Географические,Экономические,Сервиса,Строительные,Технические,Нефтяные,Транспортные;https://www.google.com/maps/search/г. Кемерово (Кемеровская обл.), Весенняя ул., д. 28;https://maps.google.com/maps/api/staticmap?center=55.348317%2C86.077574&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=tVJ6obYtbVeiPJ9L6LHteEzNUms;55.348317;86.077574
