Column1;Регион;Город;Вуз;Номер;Сайт;Почта;Студенты;Средний балл;Общая информация;Адрес;Url;Url_With_Coordinates;lat;long
183;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский институт экономики и управления;78122371756;http://www.spbiem.ru;spbiem@yandex.ru;119;;Частное образовательное учреждение высшего образования «Санкт-Петербургский институт экономики и управления»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт экономики и управления;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт экономики и управления;https://maps.google.com/maps/api/staticmap?center=59.94104855%2C30.3147073&zoom=11&size=200x200&markers=59.969809%2C30.339232%7C59.9140919%2C30.2977227%7C59.9122881%2C30.2901826&sensor=false&client=google-maps-frontend&signature=6tL6kpywTU21s2C-zUqh75iSGV8;59.94104855;30.3147073
184;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский государственный педиатрический медицинский университет;78122950646;http://gpmu.org;spb@gpma.ru;4388;78.49;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный педиатрический медицинский университет» Министерства здравоохранения Российской Федерации;Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный педиатрический медицинский университет;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный педиатрический медицинский университет;https://maps.google.com/maps/api/staticmap?center=59.981046%2C30.33911685&zoom=14&size=200x200&markers=59.9774032%2C30.3423098%7C59.9777584%2C30.3401661%7C59.9846888%2C30.3359239&sensor=false&client=google-maps-frontend&signature=cUi_r1zjxG8fBnFu-Yh2Z_37Zjk;59.981046;30.33911685
185;Санкт-Петербург;Санкт-Петербург;Финансовый университет при Правительстве РФ — филиал в г. Санкт-Петербург;78122324959;http://www.fa.ru/fil/spb/Pages/Home.aspx;spb_mail@fa.ru;479;80.98;Санкт-Петербургский филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»;Санкт-Петербург Санкт-Петербург Финансовый университет при Правительстве РФ — филиал в г. Санкт-Петербург;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Финансовый университет при Правительстве РФ — филиал в г. Санкт-Петербург;https://maps.google.com/maps/api/staticmap?center=59.955597%2C30.31596795&zoom=13&size=200x200&markers=59.953931%2C30.298946%7C59.957263%2C30.3329899&sensor=false&client=google-maps-frontend&signature=qTT9LUnfJ-wEVIr1kDKJU5r_-Eg;59.955597;30.31596795
186;Санкт-Петербург;Санкт-Петербург;Российский государственный гидрометеорологический университет;78126330182;http://www.rshu.ru;rshu@rshu.ru;4538;64.82;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный гидрометеорологический университет»;Санкт-Петербург Санкт-Петербург Российский государственный гидрометеорологический университет;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Российский государственный гидрометеорологический университет;https://maps.google.com/maps/api/staticmap?center=59.9214244%2C30.4083065&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=RU0NyLIM6qtlsOEySgIrAEzNwwU;59.9214244;30.4083065
187;Санкт-Петербург;Санкт-Петербург;Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Санкт-Петербург;78123359494;http://www.sziu.ru;sziu@ranepa.ru;8685;86.26;Северо-Западный институт управления - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»;Санкт-Петербург Санкт-Петербург Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Санкт-Петербург;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Санкт-Петербург;https://maps.google.com/maps/api/staticmap?center=59.9383183%2C30.28367155&zoom=15&size=200x200&markers=59.9383586%2C30.2841481%7C59.938278%2C30.283195&sensor=false&client=google-maps-frontend&signature=ZM0AaiTxJVABDQf4I_SRurJFN6s;59.9383183;30.28367155
188;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук;78122972145;http://www.spbau.ru;office@spbau.ru;137;80.54;Федеральное государственное бюджетное учреждение высшего образования  и науки «Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук;https://maps.google.com/maps/api/staticmap?center=60.0021268%2C30.3738838&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=1E13xPNEGAAJllJ4gKOEeW3XIjo;60.0021268;30.3738838
189;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова;78126709246;http://spbftu.ru;public@spbftu.ru;5533;62.74;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова;https://maps.google.com/maps/api/staticmap?center=59.9950245%2C30.344281&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=8IRmOlBCXb6xjhHua0CS_RIDfu4;59.9950245;30.344281
190;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский государственный технологический институт;78124949245;http://technolog.edu.ru;office@technolog.edu.ru;8403;75.88;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный технологический институт (технический университет)»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный технологический институт;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный технологический институт;https://maps.google.com/maps/api/staticmap?center=59.9184785%2C30.3182671&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ziTQfnHGU-uzw_YSeTp5HMgsb3Q;59.9184785;30.3182671
191;Санкт-Петербург;Санкт-Петербург;Михайловская военная артиллерийская академия;78125421571;http://mvaa.mil.ru;mvaa@mil.ru;;;Федеральное государственное казенное военное образовательное учреждение высшего образования «Михайловская военная артиллерийская академия» Министерства обороны Российской Федерации;Санкт-Петербург Санкт-Петербург Михайловская военная артиллерийская академия;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Михайловская военная артиллерийская академия;https://maps.google.com/maps/api/staticmap?center=59.9547672%2C30.3522581&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=3CRb3fAnyIFMo-bvAt-nxlkaMaY;59.9547672;30.3522581
192;Санкт-Петербург;Санкт-Петербург;Академия Русского балета им. А.Я. Вагановой;78124560765;http://vaganovaacademy.ru;info@vaganovaacademy.ru;329;73.94;Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия Русского балета имени А.Я. Вагановой»;Санкт-Петербург Санкт-Петербург Академия Русского балета им. А.Я. Вагановой;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Академия Русского балета им. А.Я. Вагановой;https://maps.google.com/maps/api/staticmap?center=59.9304629%2C30.335934&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=41qEhxO1QwnKnE2di-xrvNdkbc0;59.9304629;30.335934
193;Санкт-Петербург;Санкт-Петербург;Университет при Межпарламентской Ассамблее ЕврАзЭС;78125423880;http://www.miep.edu.ru;iiel2002@mail.ru;1980;;Автономная некоммерческая организация высшего образования «Университет при Межпарламентской Ассамблее ЕврАзЭС»;Санкт-Петербург Санкт-Петербург Университет при Межпарламентской Ассамблее ЕврАзЭС;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Университет при Межпарламентской Ассамблее ЕврАзЭС;https://maps.google.com/maps/api/staticmap?center=59.9369909%2C30.2254668&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=695KjsKTpQtgvj0r9bT5HwiY5Q8;59.9369909;30.2254668
194;Санкт-Петербург;Санкт-Петербург;Военная академия связи им. С.М. Буденного;78122479835;http://vas.mil.ru;vas@mil.ru;;;Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная академия связи имени Маршала Советского Союза С.М. Буденного» Министерства обороны Российской Федерации;Санкт-Петербург Санкт-Петербург Военная академия связи им. С.М. Буденного;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Военная академия связи им. С.М. Буденного;https://maps.google.com/maps/api/staticmap?center=60.0109813%2C30.3739234&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=-Ovml81aQax22vEMMAUgQrnX0CA;60.0109813;30.3739234
195;Санкт-Петербург;Санкт-Петербург;Высшая школа народных искусств;78127104254;http://www.vshni.ru;vshni@mail.ru;212;81;Федеральное государственное бюджетное образовательное учреждение высшего образования  «Высшая школа народных искусств (академия)»;Санкт-Петербург Санкт-Петербург Высшая школа народных искусств;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Высшая школа народных искусств;https://maps.google.com/maps/api/staticmap?center=59.9410438%2C30.3293095&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=qTOg8m51PxnBavcwbqDFaEnzX9E;59.9410438;30.3293095
196;Санкт-Петербург;Санкт-Петербург;Северо-Западный государственный медицинский университет им. И.И. Мечникова;78123035000;http://szgmu.ru;rectorat@szgmu.ru;4842;89.28;Федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Западный государственный медицинский университет имени И.И. Мечникова» Министерства здравоохранения Российской Федерации;Санкт-Петербург Санкт-Петербург Северо-Западный государственный медицинский университет им. И.И. Мечникова;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Северо-Западный государственный медицинский университет им. И.И. Мечникова;https://maps.google.com/maps/api/staticmap?center=59.980605%2C30.4287418&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=3KXdzUZIoIYh0nphRpdH7Za881U;59.980605;30.4287418
197;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский государственный университет промышленных технологий и дизайна;78123157525;http://sutd.ru;rector@sutd.ru;11668;77.76;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет промышленных технологий и дизайна»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный университет промышленных технологий и дизайна;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный университет промышленных технологий и дизайна;https://maps.google.com/maps/api/staticmap?center=59.9280167%2C30.31213395&zoom=13&size=200x200&markers=59.9211514%2C30.3081879%7C59.934882%2C30.31608&sensor=false&client=google-maps-frontend&signature=qX5ov5-75KxXOsnkOpY7gCCLJ14;59.9280167;30.31213395
198;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина);78123464487;http://etu.ru;info@etu.ru;8996;78.16;Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина);https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина);https://maps.google.com/maps/api/staticmap?center=59.9721917%2C30.3226556&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=s70Ih6sjOkjbkdngbXfNrVx2qFY;59.9721917;30.3226556
199;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский институт внешнеэкономических связей, экономики и права;78122732049;http://ivesep.spb.ru;ivesep@ivesep.spb.ru;449;;Образовательное учреждение высшего образования «Санкт-Петербургский институт внешнеэкономических связей, экономики и права»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт внешнеэкономических связей, экономики и права;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт внешнеэкономических связей, экономики и права;https://maps.google.com/maps/api/staticmap?center=59.93252325%2C30.32613125&zoom=12&size=200x200&markers=59.926765%2C30.303415%7C59.9382815%2C30.3488475&sensor=false&client=google-maps-frontend&signature=iU23ih92Bou8l_9E5Bf3rjNAsUA;59.93252325;30.32613125
200;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский государственный институт психологии и социальной работы;78123230784;http://www.psysocwork.ru;info@gipsr.ru;1409;77;Санкт-Петербургское государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный институт психологии и социальной работы»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный институт психологии и социальной работы;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный институт психологии и социальной работы;https://maps.google.com/maps/api/staticmap?center=59.9386084%2C30.2745358&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=9rRXo9V-6ez5drGjvtA7nrlKSZg;59.9386084;30.2745358
201;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский университет МВД РФ;78127447027;http://univer.mvd.ru;mail@univermvd.ru;;;Федеральное государственное казенное образовательное учреждение высшего образования «Санкт-Петербургский университет Министерства внутренних дел Российской Федерации»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский университет МВД РФ;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский университет МВД РФ;https://maps.google.com/maps/api/staticmap?center=59.8449771%2C30.1396188&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=S8jmeuyLdzxAo_xFaRRFVAlUMKI;59.8449771;30.1396188
202;Санкт-Петербург;Санкт-Петербург;Университет прокуратуры РФ — филиал в г. Санкт-Петербург;78122725140;http://www.procuror.spb.ru;spb-agprf@mail.ru;;;Санкт-Петербургский юридический институт (филиал) федерального государственного казенного образовательного учреждения высшего образования «Университет прокуратуры Российской Федерации»;Санкт-Петербург Санкт-Петербург Университет прокуратуры РФ — филиал в г. Санкт-Петербург;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Университет прокуратуры РФ — филиал в г. Санкт-Петербург;https://maps.google.com/maps/api/staticmap?center=59.93799%2C30.348623&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=pBQgh_-fCXWOMsMGobu7VKv6mHA;59.93799;30.348623
203;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский университет ГПС МЧС РФ;78123696973;http://www.igps.ru;chizhikov@igps.ru;6862;55.1;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский университет Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский университет ГПС МЧС РФ;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский университет ГПС МЧС РФ;https://maps.google.com/maps/api/staticmap?center=59.875085%2C30.3192295&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=IkKcrK74oiIXSE57e4N0gwpFr7g;59.875085;30.3192295
204;Санкт-Петербург;Санкт-Петербург;Военно-космическая академия им. А.Ф. Можайского;78123479770;http://vka.mil.ru;vka@mil.ru;;;Федеральное государственное бюджетное военное образовательное учреждение высшего образования «Военно-космическая академия имени А.Ф.Можайского» Министерства обороны Российской Федерации;Санкт-Петербург Санкт-Петербург Военно-космическая академия им. А.Ф. Можайского;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Военно-космическая академия им. А.Ф. Можайского;https://maps.google.com/maps/api/staticmap?center=59.972116%2C30.2962181&zoom=12&size=200x200&markers=59.95587%2C30.2861345%7C59.9594124%2C30.2847265%7C59.988362%2C30.311498%7C59.9587972%2C30.2809382&sensor=false&client=google-maps-frontend&signature=KloP8O7OZ-iWQ9da2eBhhBwNJ-0;59.972116;30.2962181
205;Санкт-Петербург;Санкт-Петербург;Военно-медицинская академия им. С.М. Кирова;78122923255;http://www.vmeda.org;post@www.vmeda.spb.ru;;;Федеральное государственное бюджетное военное  образовательное учреждение высшего образования «Военно-медицинская академия имени С.М.Кирова» Министерства обороны Российской Федерации;Санкт-Петербург Санкт-Петербург Военно-медицинская академия им. С.М. Кирова;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Военно-медицинская академия им. С.М. Кирова;https://maps.google.com/maps/api/staticmap?center=59.95827255%2C30.35159055&zoom=14&size=200x200&markers=59.9573447%2C30.3507002%7C59.9576497%2C30.351397%7C59.956378%2C30.3507135%7C59.9576246%2C30.3516734%7C59.9563725%2C30.3478662%7C59.9602534%2C30.3512894%7C59.9603816%2C30.3492003%7C59.9588945%2C30.3501974%7C59.9607291%2C30.3556661%7C59.956222%2C30.35114&sensor=false&client=google-maps-frontend&signature=dS9v6g5F2L-bLLjR3V2YE5ntJAI;59.95827255;30.35159055
206;Санкт-Петербург;Санкт-Петербург;Военная академия материально-технического обеспечения им. А.В. Хрулева;78123289333;http://vamto.net;vatt@mil.ru;;;Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная академия материально-технического обеспечения имени генерала армии А.В.Хрулева» Министерства обороны Российской Федерации;Санкт-Петербург Санкт-Петербург Военная академия материально-технического обеспечения им. А.В. Хрулева;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Военная академия материально-технического обеспечения им. А.В. Хрулева;https://maps.google.com/maps/api/staticmap?center=59.945166%2C30.29659&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=0-wOOMiIct2qxkLfsHhs6rtXE7g;59.945166;30.29659
207;Санкт-Петербург;Санкт-Петербург;Военный учебно-научный центр ВМФ ВМА им. Н.Г. Кузнецова;78124319478;http://вмпи.рф;vunc-vmf-vmii@mil.ru;;;Федеральное государственное казенное военное образовательное учреждение высшего образования «Военный учебно-научный центр Военно-Морского Флота «Военно-морская академия имени Адмирала Флота Советского Союза Н.Г.Кузнецова»;Санкт-Петербург Санкт-Петербург Военный учебно-научный центр ВМФ ВМА им. Н.Г. Кузнецова;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Военный учебно-научный центр ВМФ ВМА им. Н.Г. Кузнецова;https://maps.google.com/maps/api/staticmap?center=59.95990085%2C30.2919705&zoom=11&size=200x200&markers=59.935258%2C30.280413%7C59.9845437%2C30.303528&sensor=false&client=google-maps-frontend&signature=2j59ADVgpkAgqAfwo4kdJYPVHQk;59.95990085;30.2919705
208;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский военный институт войск национальной гвардии РФ;78126802430;http://www.spvi.ru;info@spvi.ru;;;Федеральное государственное казенное военное образовательное учреждение высшего образования «Санкт-Петербургский военный ордена Жукова институт войск национальной гвардии Российской Федерации»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский военный институт войск национальной гвардии РФ;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский военный институт войск национальной гвардии РФ;https://maps.google.com/maps/api/staticmap?center=59.8449792%2C30.1382351&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=K0zGKYgLCpi7a2n2U9M28s1ppfA;59.8449792;30.1382351
209;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский институт искусств и реставрации;78005008942;http://spbiir.ru;edu@spbiir.ru;226;;Частное образовательное учреждение высшего образования «Санкт-Петербургский институт искусств и реставрации»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт искусств и реставрации;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт искусств и реставрации;https://maps.google.com/maps/api/staticmap?center=59.9081451%2C30.264018&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=zsbBp-AckwBAb-hvO_a_6BYtZaE;59.9081451;30.264018
210;Санкт-Петербург;Санкт-Петербург;Институт ФСБ РФ;78126222481;http://ispb.fsb.ru;institute@spbfsb.ru;;;Федеральное государственное казенное образовательное учреждение высшего образования «Институт Федеральной службы безопасности Российской Федерации (г. Санкт-Петербург)»;Санкт-Петербург Санкт-Петербург Институт ФСБ РФ;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Институт ФСБ РФ;https://maps.google.com/maps/api/staticmap?center=59.954047%2C30.4388968&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=69YqNYCaUFsqENoT1y7tKcXF8s0;59.954047;30.4388968
211;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский медико-социальный институт;78124483963;http://www.medinstitut.org;info@medinstitut.org;885;;Частное образовательное учреждение высшего образования «Санкт-Петербургский медико-социальный институт»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский медико-социальный институт;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский медико-социальный институт;https://maps.google.com/maps/api/staticmap?center=59.9869022%2C30.4004057&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=HHa_ibKJejRv4H1gfuhNQOURC2I;59.9869022;30.4004057
212;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургская академия Следственного Республика Комитета;78123312241;http://www.skspba.ru;mail@skspba.ru;;;Федеральное государственное казенное образовательное учреждение высшего образования  «Санкт-Петербургская академия Следственного Республика Комитета Российской Федерации»;Санкт-Петербург Санкт-Петербург Санкт-Петербургская академия Следственного Республика Комитета;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургская академия Следственного Республика Комитета;https://maps.google.com/maps/api/staticmap?center=59.9288703%2C30.29748&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=PyLXVEIQB2EA19gw6MO3MusHOAo;59.9288703;30.29748
213;Санкт-Петербург;Санкт-Петербург;Балтийский гуманитарный институт;78007700380;http://bhi.spb.ru;info@bhi.spb.ru;223;;Частное образовательное учреждение высшего образования «Балтийский Гуманитарный Институт»;Санкт-Петербург Санкт-Петербург Балтийский гуманитарный институт;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Балтийский гуманитарный институт;https://maps.google.com/maps/api/staticmap?center=59.8786512%2C30.2638178&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=W--oWfth2KrPWiKRj2EJ4VN_P8E;59.8786512;30.2638178
214;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский государственный академический институт живописи, скульптуры и архитектуры им. И.Е. Репина;78123236189;http://www.artsacademy.ru;academyart@yandex.ru;1590;76.26;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный академический институт живописи, скульптуры и архитектуры имени И.Е. Репина при Российской академии художеств»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный академический институт живописи, скульптуры и архитектуры им. И.Е. Репина;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский государственный академический институт живописи, скульптуры и архитектуры им. И.Е. Репина;https://maps.google.com/maps/api/staticmap?center=59.9374689%2C30.2902183&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Q5KsxQcIJvkCAjseqw1b3qWwsuY;59.9374689;30.2902183
215;Санкт-Петербург;Санкт-Петербург;Северо-Западный открытый технический университет;78005052318;http://nwotu.ru;info@nwotu.ru;504;;Автономная некоммерческая организация высшего образования «Северо-Западный открытый технический университет»;Санкт-Петербург Санкт-Петербург Северо-Западный открытый технический университет;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Северо-Западный открытый технический университет;https://maps.google.com/maps/api/staticmap?center=59.9428615%2C30.4279055&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=1UBQX-dUQAHDScowTUn8YjvezGQ;59.9428615;30.4279055
216;Санкт-Петербург;Санкт-Петербург;Высшая школа экономики — филиал в г. Санкт-Петербург;78126445911;http://spb.hse.ru;office-spb@hse.ru;5640;91.02;Санкт-Петербургский филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский университет «Высшая школа экономики»;Санкт-Петербург Санкт-Петербург Высшая школа экономики — филиал в г. Санкт-Петербург;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Высшая школа экономики — филиал в г. Санкт-Петербург;https://maps.google.com/maps/api/staticmap?center=59.9156416%2C30.36603275&zoom=10&size=200x200&markers=59.8976979%2C30.2639745%7C59.9230371%2C30.3034011%7C59.881159%2C30.423447%7C59.9800492%2C30.3272148%7C59.851234%2C30.468091%7C59.9365245%2C30.2783317&sensor=false&client=google-maps-frontend&signature=piwAjknrXEaZ1X2jD4if72Q_704;59.9156416;30.36603275
217;Санкт-Петербург;Санкт-Петербург;Восточно-Европейский институт психоанализа;78003333776;http://eeip.ru;info@eeip.ru;444;;Частное  образовательное учреждение высшего образования «Восточно-Европейский Институт психоанализа»;Санкт-Петербург Санкт-Петербург Восточно-Европейский институт психоанализа;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Восточно-Европейский институт психоанализа;https://maps.google.com/maps/api/staticmap?center=59.9552638%2C30.2943604&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=h7ytjxiFKLDYU6UOwLzyVV8Oq88;59.9552638;30.2943604
218;Санкт-Петербург;Санкт-Петербург;Невский институт языка и культуры;78123209921;http://www.niyak.spb.ru;rectorat@niyak.spb.ru;90;;Частное образовательное учреждение высшего образования «Невский институт языка и культуры»;Санкт-Петербург Санкт-Петербург Невский институт языка и культуры;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Невский институт языка и культуры;https://maps.google.com/maps/api/staticmap?center=59.9543691%2C30.2929502&zoom=12&size=200x200&markers=59.9637972%2C30.2894783%7C59.944941%2C30.2887523%7C59.9628292%2C30.2971481&sensor=false&client=google-maps-frontend&signature=Hyy6-fcLN56C3iaFJrymwPQoaUc;59.9543691;30.2929502
219;Санкт-Петербург;Санкт-Петербург;Международный банковский институт;78001000644;http://www.ibispb.ru;ibispb@ibispb.ru;1335;;Автономная некоммерческая организация высшего образования «Международный банковский институт»;Санкт-Петербург Санкт-Петербург Международный банковский институт;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Международный банковский институт;https://maps.google.com/maps/api/staticmap?center=59.934206%2C30.3386768&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=vRsusQEdtN3s0O4YYQrXKCAruck;59.934206;30.3386768
220;Санкт-Петербург;Санкт-Петербург;Национальный исследовательский университет ИТМО;78122329704;http://www.ifmo.ru;od@itmo.ru;12127;90.58;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»;Санкт-Петербург Санкт-Петербург Национальный исследовательский университет ИТМО;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Национальный исследовательский университет ИТМО;https://maps.google.com/maps/api/staticmap?center=59.94178855%2C30.34864335&zoom=11&size=200x200&markers=59.9574001%2C30.3083429%7C59.9106112%2C30.4020484%7C59.92948%2C30.3150631%7C59.9729659%2C30.2952383&sensor=false&client=google-maps-frontend&signature=P5zqvS5TT5lj6NUyr6BlQRxheQ0;59.94178855;30.34864335
221;Санкт-Петербург;Санкт-Петербург;Санкт-Петербургский институт гостеприимства;78123319960;http://spig.spb.ru;spig@spig.spb.ru;180;;Частное образовательное учреждение высшего образования «Санкт-Петербургский институт гостеприимства»;Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт гостеприимства;https://www.google.com/maps/search/Санкт-Петербург Санкт-Петербург Санкт-Петербургский институт гостеприимства;https://maps.google.com/maps/api/staticmap?center=60.010522%2C30.3239539&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=VWDAYltu0VDOAZVMy5ZDuI8dIMo;60.010522;30.3239539
